filename,timestamp[ms],diameter[px],diameterSec[px],physicaldiameter[mm],width[px],height[px],widthSec[px],heightSec[px],center_x,center_y,center_xSec,center_ySec,angle[deg],angleSec[deg],circumference[px],circumferenceSec[px],confidence,outline_confidence,confidenceSec,outline_confidenceSec
1603365076466.bmp,1603482874565,111,113,4.99057,108,111,106,113,1116.06,481.729,702.302,511.858,4.09633,178.299,344.021,344.092,1,1,1,1
1603365076502.bmp,1603482874585,111,113,4.99578,108,111,106,113,1116.06,482.053,702.289,511.998,2.54258,177.336,344.021,344.092,1,1,1,1
1603365076536.bmp,1603482874605,111,113,4.99973,107,111,106,113,1116.3,481.93,702.452,511.939,3.35653,177.739,342.462,344.092,1,1,1,1
1603365076569.bmp,1603482874625,111,113,4.99428,107,111,106,113,1116.31,481.854,702.5,511.949,2.80971,178.537,342.462,344.092,1,1,1,1
1603365076602.bmp,1603482874645,111,113,4.99098,107,111,106,113,1116.59,482.307,702.737,512.115,1.3692,177.44,342.462,344.092,1,1,1,1
1603365076636.bmp,1603482874665,111,113,5.0009,107,111,106,113,1116.56,482.405,702.89,512.459,0.748032,178.298,342.462,344.092,1,1,1,1
1603365076669.bmp,1603482874685,111,113,4.99522,107,111,106,113,1116.32,482.24,702.484,512.255,0.756317,177.468,342.462,344.092,1,1,1,1
1603365076702.bmp,1603482874705,111,113,4.99486,108,111,106,113,1115.97,482.139,702.219,512.144,5.14931,177.368,344.021,344.092,1,1,1,1
1603365076736.bmp,1603482874725,111,113,5.00189,108,111,106,113,1116.2,482.299,702.179,512.366,2.68698,178.425,344.021,344.092,1,1,1,1
1603365076769.bmp,1603482874745,111,113,4.99875,107,111,106,113,1115.84,482.322,702.025,512.182,8.76488,179.824,342.462,344.092,1,1,1,1
1603365076802.bmp,1603482874765,111,113,4.99143,107,111,106,113,1115.86,482.268,702.127,512.258,6.467,1.57304,342.462,344.092,1,1,1,1
1603365076836.bmp,1603482874785,111,113,4.99527,107,111,106,113,1116.19,482.06,702.271,512.092,1.77641,178.282,342.462,344.092,1,1,1,1
